"Oregon Liquor & Cannabis Commission Price Changes - Effective July 01, 2022"
"NOTE","ITEM CODE","NEW ITEM CODE","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
,"6974B","99900697475","R",15.95,$191.40,"EVAN WILLIAMS HONEY RESERV",3.00
,"6975B","99900697575","R",35.95,$431.40,"CIROC RED BERRY VODKA",6.00
,"6976B","99900697675","R",35.95,$431.40,"CIROC COCONUT VODKA",6.00
"#","7004B","99900700475","S",54.95,$329.70,"OLD DELICIOUS DBL BOURB. B",0.00
"#","7032B","99900703275","H",11.00,$132.00,"PENNSYLVANIA DUTCH EGG NOG",8.00
"#","7037B","99900703775","D",29.95,$179.70,"BAILEY'S W/MUGS",0.00
,"7039B","99900703975","H",16.95,$101.70,"JIM BEAM WHITE GIFT",2.00-
"#","7150F","99900715005","D",1.00,$120.00,"RAM'S POINT PEANUT BUTTER",0.50-
"#","7202B","99900720275","H",9.95,$119.40,"EVAN WILLIAMS EGG NOG",6.95
,"7252B","99900725275","R",21.95,$131.70,"BIRD DOG BLACKBERRY WHISKE",2.00
"#","7306B","99900730675","H",9.95,$119.40,"CHRISTIAN BROS HOL NOG",6.95
,"7526B","99900752675","S",62.80,$376.80,"HACIENDA DE CHIHUAHUA ANEJ",13.80
"#","7547B","99900754775","D",32.95,$197.70,"BELVEDERE HERITAGE 176",0.00
,"7698B","99900769875","S",109.95,$659.70,"AMRUT PEATED",18.00
"#","7756B","99900775675","D",14.95,$179.40,"SVEDKA GINGER LIME",0.00
,"7822B","99900782275","T",43.95,$263.70,"GLENLIVET CARIBBEAN RESERV",4.00
"#","7914B","99900791475","D",14.95,$179.40,"THREE OLIVES CITRUS VODKA",0.00
,"7999B","99900799975","T",24.95,$149.70,"FISTFUL OF BOURBON",3.00
,"8024B","99900802475","S",50.40,$302.40,"HACIENDA DE CHIHUAHUA PLAT",11.50
,"8053B","99900805375","S",31.10,$186.60,"BERENTZEN APFEL KORN",7.15
"#","8095B","99900809575","D",24.35,$146.10,"FAMILIA CAMERENA ANEJO",0.00
,"8110B","99900811075","R",35.95,$431.40,"CIROC SUPER PREMIUM VODKA",6.00
"#","8135B","99900813575","S",29.95,$179.70,"HERBSAINT ORIGINAL 100",0.00
"#","8186B","99900818675","D",16.45,$197.40,"STOCK '84 BRANDY",0.00
,"8205B","99900820575","R",19.95,$239.40,"PADDY IRISH WHISKEY",3.00
,"8257H","99900825717","R",35.95,$215.70,"EVAN WILLIAMS 1783",3.00
,"8272B","99900827275","S",57.05,$342.30,"HACIENDA DE CHIHUAHUA REP",13.40
,"8292B","99900829275","R",36.95,$221.70,"CABO WABO BLANCO",4.00
,"8347B","99900834775","R",79.95,$479.70,"BUCHANAN'S SP.RES. 18 YR.",7.00
"#","8368B","99900836875","D",44.95,$269.70,"KILBEGGAN POT STILL",0.00
"#","8407B","99900840775","S",35.95,$431.40,"DULCE VIDA TEQ REPOSADO",25.95
"#","8427B","99900842775","D",39.95,$479.40,"COURVOISIER AVANT GARDE",0.00
"#","8522D","99900852220","D",6.45,$116.10,"TWISTED SHOTZ JOLLI JOLLI",0.00
"#","8567B","99900856775","D",32.95,$197.70,"JUNIPERO GIN",0.00
"#","8579F","99900857905","D",2.00,$240.00,"99 PEACHES SCHNAPPS",0.00
"%","8618B","99900861875","R",19.95,$239.40,"FORTY CREEK",5.00-
,"8621B","99900862175","R",30.95,$371.40,"GRAN CENTENARIO PLATA",3.00
,"8632B","99900863275","R",31.95,$383.40,"GRAN CENTENARIO REP",3.00
,"8636H","99900863617","R",32.95,$197.70,"EVAN WILLIAMS 100",3.00
"#","8716B","99900871675","D",18.45,$110.70,"STROH 160 RUM",0.00
,"8729H","99900872917","R",58.95,$353.70,"BULLEIT BOURBON FRONTIER",5.00
"#","8751B","99900875175","S",25.95,$311.40,"LEMON HART ORIG 1804",14.95
"#","8860B","99900886075","D",12.95,$155.40,"GEORGIA MOON FRUIT JAR",0.00
"#","8963B","99900896375","D",19.95,$239.40,"MEKHONG SP OF THAI",0.00
"%","9006B","99900900675","R",45.95,$275.70,"WHISTLEPIG 6 YR PIGGYBACK",4.00-
"#","9008B","99900900875","D",260.95,"$1,565.70","COMPASS BOX ROGUES BANQUET",2.05-
"#","9033B","99900903375","D",9.95,$59.70,"WESTERN SON GIN",0.00
,"9036B","99900903675","B",149.95,$899.70,"WOODFORD RES BATCH PROOF",20.00
